е§,°к¤е,­^¤е,јЖѕЗ,ЄА·|,¦ЫµM
дїе®,9,10,15,10,13
Ўз,10,10,10,8,9
й»ж·е©,13,15,8,11,14
ідзґ,10,10,8,9,14
еґ,13,12,14,12,13
ејµйеІ,13,12,12,12,8
жўЃдїзї,11,13,10,10,14
йі,8,9,10,10,8
иЁ±е,9,9,12,10,10
­й ,10,15,12,11,9
ејµеЃ,14,9,8,10,12
ЁзжЁ,13,9,13,14,15
ж­Ѓ,11,15,11,14,15
й»­е ,15,14,9,12,10
,8,13,10,13,14
й»ж·,11,8,10,12,15
іиЃ,14,9,11,10,9
Ѓ¶з®е,12,11,13,12,9
жўЃ§е,9,8,8,8,12
,14,9,11,15,9
іжєи,13,9,13,14,13
й»еҐ,9,8,11,13,8
жІзґ,12,14,10,9,9
иЁ±ж ,10,13,12,14,10
із«№дј,10,12,15,10,14
Ўдє¦,13,13,14,13,12
ґееЇ,13,11,9,14,9
й¦®зЅе,8,13,14,8,10
йі,15,14,8,12,8
\Із ,14,11,13,8,11
\,8,10,14,8,13
з§\еЁ,15,12,9,9,15
е»єдєЁ,9,11,8,8,11
дЅіи,14,15,9,9,8
ѕж,13,12,10,11,9
§е е®,14,11,10,11,11
и©№еЃеѕ,12,13,15,10,14
ѕж\Ўе,11,12,15,13,14
іждј,8,8,8,15,12
ж®µе е»,9,8,15,12,15
іж¬Јеј,12,13,8,11,9
Із\,14,14,8,9,15
и¶Ѓ­зѕ¤,14,12,10,9,15
еЈ«и,12,15,9,9,13
з«Ґе\,13,13,14,8,13
и¬дє®е¤«,9,8,14,11,9
іиЃ,14,12,10,8,14
е­и±,8,9,13,13,15
іж\Ўе©·,15,14,12,9,15
±еЇ¶,10,14,11,10,15
й¦®дј¶,12,12,14,8,11
еЅҐж,14,11,11,12,13
й»§з¶ё,12,9,13,14,9
й§±з,14,10,11,9,15
іж\Ўж,15,15,9,15,11
,9,15,11,13,9
ідє­е¦,11,14,11,12,10
Ўж·і,12,15,14,13,11
іеЃ,10,13,9,11,14
®зиѕ,11,10,15,10,8
ѕж,14,12,11,8,15
Ёз Ѓ,14,8,8,11,12
иЁ±зЃ,8,10,10,15,9
ејµе±±,12,11,9,9,15
дїеїеі,9,14,13,14,15
и¬,13,14,13,12,9
‚±здї,10,14,14,13,8
Іж,14,9,15,10,14
йє,8,14,14,14,14
д»,12,12,10,13,8
\дѕ,9,13,15,8,14
еї,9,8,13,9,12
іж¬Ј,10,9,13,8,10
іеЃ ,13,15,15,8,8
,14,9,10,14,11
е®зѕ ,13,8,9,10,11
Ёи‚Ій,9,12,15,13,12
й»д»,13,10,11,8,13
е­,12,13,13,9,11
е®®ЈеЈ,9,10,12,15,13
Ѕй,13,15,12,13,13
жҐеЅҐдј¶,11,8,13,9,15
­е,11,14,9,15,9
еЈ«иіў,10,14,15,13,13
Ўе±з,10,8,9,9,15
ејµйеЅ,10,11,15,12,8
иІ\,11,10,14,8,13
и¶Ѓеё,10,13,14,13,15
ґй,11,8,14,12,10
­й иЄ ,13,13,10,14,9
Ўе‚,8,11,15,10,15
із»зї°,14,11,11,13,12
Ўже­,8,12,14,12,11
је¤ў,11,9,11,8,8
еї ,10,9,10,11,15
ЎдЅі,9,10,9,13,14
із­±е©,8,10,14,10,15
іе®¶,14,9,11,8,12
еЁЃ,15,9,8,9,15
иѕІж,9,11,12,12,10
